联系方式,#genre#
QQ群,http://iptv.yjxfz.com/IPTV_QQ_GROUP.mp4
418118493,http://iptv.yjxfz.com/IPTV_QQ_GROUP.mp4
广西卫视,http://www.8700956.top:18888/rtp/239.81.1.001:4056
CCTV1,http://www.8700956.top:18888/rtp/239.81.1.002:4056
CCTV2,http://www.8700956.top:18888/rtp/239.81.1.003:4056
CCTV3,http://www.8700956.top:18888/rtp/239.81.1.004:4056
CCTV4,http://www.8700956.top:18888/rtp/239.81.1.005:4056
CCTV5,http://www.8700956.top:18888/rtp/239.81.1.006:4056
CCTV6,http://www.8700956.top:18888/rtp/239.81.1.007:4056
CCTV7,http://www.8700956.top:18888/rtp/239.81.1.008:4056
CCTV8,http://www.8700956.top:18888/rtp/239.81.1.009:4056
CCTV9,http://www.8700956.top:18888/rtp/239.81.1.010:4056
CCTV10,http://www.8700956.top:18888/rtp/239.81.1.011:4056
CCTV11,http://www.8700956.top:18888/rtp/239.81.1.012:4056
CCTV12,http://www.8700956.top:18888/rtp/239.81.1.013:4056
CCTV13,http://www.8700956.top:18888/rtp/239.81.1.014:4056
CCTV14,http://www.8700956.top:18888/rtp/239.81.1.015:4056
CCTV15,http://www.8700956.top:18888/rtp/239.81.1.016:4056
CCTV16,http://www.8700956.top:18888/rtp/239.81.1.017:4056
CCTV5+,http://www.8700956.top:18888/rtp/239.81.1.018:4056
CCTV17,http://www.8700956.top:18888/rtp/239.81.1.019:4056
CGTN,http://www.8700956.top:18888/rtp/239.81.1.020:4056
广东卫视,http://www.8700956.top:18888/rtp/239.81.1.021:4056
湖南卫视,http://www.8700956.top:18888/rtp/239.81.1.022:4056
五星卫视,http://www.8700956.top:18888/rtp/239.81.1.023:4056
北京卫视,http://www.8700956.top:18888/rtp/239.81.1.024:4056
浙江卫视,http://www.8700956.top:18888/rtp/239.81.1.025:4056
江苏卫视,http://www.8700956.top:18888/rtp/239.81.1.026:4056
深圳卫视,http://www.8700956.top:18888/rtp/239.81.1.027:4056
天津卫视,http://www.8700956.top:18888/rtp/239.81.1.028:4056
湖北卫视,http://www.8700956.top:18888/rtp/239.81.1.029:4056
山东卫视,http://www.8700956.top:18888/rtp/239.81.1.030:4056
黑龙江卫视,http://www.8700956.top:18888/rtp/239.81.1.031:4056
河北卫视,http://www.8700956.top:18888/rtp/239.81.1.032:4056
贵州卫视,http://www.8700956.top:18888/rtp/239.81.1.033:4056
东南卫视,http://www.8700956.top:18888/rtp/239.81.1.034:4056
辽宁卫视,http://www.8700956.top:18888/rtp/239.81.1.035:4056
安微卫视,http://www.8700956.top:18888/rtp/239.81.1.036:4056
甘肃卫视,http://www.8700956.top:18888/rtp/239.81.1.037:4056
江西卫视,http://www.8700956.top:18888/rtp/239.81.1.038:4056
四川卫视,http://www.8700956.top:18888/rtp/239.81.1.039:4056
陕西卫视,http://www.8700956.top:18888/rtp/239.81.1.040:4056
河南卫视,http://www.8700956.top:18888/rtp/239.81.1.041:4056
云南卫视,http://www.8700956.top:18888/rtp/239.81.1.042:4056
新疆卫视,http://www.8700956.top:18888/rtp/239.81.1.043:4056
重庆卫视,http://www.8700956.top:18888/rtp/239.81.1.044:4056
海南卫视,http://www.8700956.top:18888/rtp/239.81.1.045:4056
